,PC1,PC2,PC3,PC4,PC5,PC6,y
0,-1.9256036717541103,1.9522280967375378,1.5375609198536604,0.05764936213051186,0.24123274257762164,0.09423046477763831,452600.0
1,3.131344300801927,2.0428391560309906,1.0116332647046065,-0.4975462064810146,-0.014064827570111764,-0.28141406552236675,358500.0
2,-1.7998192110251718,1.0722473332134368,2.1401533911182864,-0.02336981080359835,0.011004132893186863,0.06428209039873298,352100.0
3,-1.7475132344715474,0.27884431309709196,1.7902018811899794,-0.05965335109528028,0.03129758267364683,0.047006191347648656,341300.0
4,-1.6031344782707064,-0.5717461236033414,1.425600096727655,-0.2205701820106654,-0.15854019407981984,-0.01932187289462526,342200.0
5,-1.984147583020335,-0.45681500403576875,1.3917766384281627,-0.14223397659316714,-0.015216653579955552,0.024521911139739103,269700.0
6,-0.6089293980836807,-0.8121728983174822,1.5655402239791505,-0.24381982069060937,-0.04309643818093322,-0.1267190523283336,299200.0
7,-0.06404662143092854,-1.1434126754408438,1.5435544935931511,-0.5250932089215226,0.024465344321349797,-0.07655219295605076,241400.0
8,-0.11022457190461632,-1.3122680948527798,0.5638671794905837,-0.3875740511150637,0.07604076108623851,-0.008984990299032177,226700.0
9,0.3233054083987713,-0.9248434613595525,1.743038380663216,-0.3158954190296254,-0.009879371124348597,-0.13338142078525292,261100.0
10,-0.9801527131491362,-0.9707770245450201,1.3963630132223803,-0.2574618448366121,-0.13856953146553644,-0.030707127444987003,281500.0
11,0.36221399082170697,-1.137090105481064,1.654841121120687,-0.4071186789774699,0.034093054110776,-0.10554338717914366,241800.0
12,-0.7078072494407822,-1.0693052500914804,1.419277215657772,-0.22256292955502788,-0.14816328359550252,-0.0823450995778533,213500.0
13,-2.144435149225965,-1.0836293935172472,1.0621270335309456,-0.18007478573804844,-0.08469727303675462,-0.005013032971759473,191300.0
14,-0.2784090117660777,-1.7042508449870757,1.237165625296653,-0.3926004921496306,0.006758810095769267,-0.12106409438253671,159200.0
15,-1.6566333744928956,-1.3475273757610322,0.8829220038724704,-0.10724103622391416,-0.11289248300773075,-0.014515735374603976,140000.0
16,-1.2854897907250655,-1.1223837502731504,1.2489260369397037,-0.22060464302757263,-0.2392054843781748,-0.05924244693967695,152500.0
17,-1.6255357262978913,-1.4192161960305114,1.0364239231012178,-0.1873826941244878,-0.09531650310099267,-0.0786870970982159,155500.0
18,-0.8854553478357319,-1.4902516580577403,0.9997916130890617,-0.26480609121463067,-0.21364000205354006,-0.051071970336757165,158700.0
19,-1.565754189195571,-1.1800047691537177,1.1564137838091721,-0.17229956855101572,-0.19064545833481436,-0.02475436771793002,162900.0
20,-1.9467708752369444,-1.3117314138496516,-0.07219932818463576,-0.1537374827479356,-0.19828690440231628,-0.04205368434056005,147500.0
21,-1.0844543712829482,-1.3392329949723212,0.3105847852243752,-0.1214008510866749,-0.12826180852126978,-0.08086010170953617,159800.0
22,-0.6947597740437781,-1.715599157604551,1.1212720351673882,-0.38653798414070484,-0.1729528437495926,-0.027223408077702762,113900.0
23,-1.355811465946189,-1.4127161148200311,1.1018632030466597,-0.1441484696124726,-0.2077409009727191,-0.05256560708405063,99700.0
24,-0.9197847081163685,-1.2682623875999453,1.2749791339457477,-0.2186596147985904,-0.1737346945010437,-0.066543533752346,132600.0
25,-2.1586739975388363,-0.8232530681533391,0.19269719992209536,-0.08614760045024789,-0.13793480570432895,-0.02915552632235119,107500.0
26,-1.7449199995345204,-1.1308127593148032,0.869576556870775,-0.11901507269443751,-0.14152399514609293,-0.039795639281559096,93800.0
27,-1.0220150892402267,-1.6491918818514333,1.0780170882976194,-0.10194588464101922,-0.17346332004829496,-0.03379685776525325,105500.0
28,-0.7564854537386901,-1.7004375984452926,0.941843235813474,-0.20185623358012092,-0.09652165365693473,-0.06400347268732291,108900.0
29,-2.2000571577175174,-1.5336275509748658,0.8378985826018167,-0.14457848240965543,-0.22910059054865428,-0.045631401597380564,132000.0
30,-1.0572120961986138,-1.473246978351171,0.8769182550832919,-0.2919946748173639,-0.15231392079161218,0.014625799096984847,122300.0
31,-0.8067108516247824,-1.6041715276812116,1.1509297454109464,-0.15438779774197883,-0.1545601230801864,-0.017749828303976183,115200.0
